作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在	重要度
0270	0001	完了	青森県	東津軽郡	龍飛崎	030-1711	青森県東津軽郡外ヶ浜町三厩龍浜		41.258934	140.342433	-	14.0		0			CLANNAD ～AFTER STORY～	クラナドアフターストーリー	第18話の岡崎朋也と娘の岡崎汐との旅行先で、朋也が祖母の岡崎史乃と会い、父親の話を伝えられた場所。				ヒガシツガルグン	ク	2	11	1		
0270	0002	完了	青森県	むつ市	JR 大湊駅	035-0084	青森県むつ市大湊新町7-14		41.280489	141.161456	-	16.0		0			CLANNAD ～AFTER STORY～	クラナドアフターストーリー	第18話の岡崎朋也と娘の岡崎汐との旅行で下車した駅の風景のモデル。<br />ホームや駅舎は陸奥横浜駅がモデルですが、作中では終点の駅の設定のため、同じ大湊線の終着駅であるこの駅のレールの終わり部分が作中に描かれていました。				ムツシ	ク	2	8	1		
0270	0003	完了	青森県	八戸市	JR 八戸駅 新幹線側改札内	039-1101	青森県八戸市尻内町館田2-2		40.509247	141.431109	-	15.0		0			CLANNAD ～AFTER STORY～	クラナドアフターストーリー	第18話の岡崎朋也と岡崎汐の旅行で、2人が乗り換えをしていた駅で、新幹線改札付近が描かれていました。2人は構内のコンビニ（作中では土産物屋として描かれていました）でおもちゃを買った後、スーパー白に乗って野辺地へ向かいます。				ハチノヘシ	ク	2	3	1		
0270	0111	完了	青森県	上北郡	菜の花ロード	039-4100	青森県上北郡横浜町字牛ノ沢川目		41.046014	141.256550	"https://www.google.co.jp/maps/@41.0460336,141.2565225,3a,31.8y,192.61h,91.09t/data=!3m6!1e1!3m4!1s41GX2OtW70Qd3pFFxJrcIQ!2e0!7i13312!8i6656?hl=ja"						CLANNAD ～AFTER STORY～	クラナドアフターストーリー	第22話の岡崎家3人旅で描かれていた道路。座標地点の交差点から南側を望む構図で、遥かに続く道路や標識、畑や林などの雄大な景色が描かれていました。<br />「下北A線・下北B線」と記された標識はこの交差点にあります。				カミキタグン	ク	2	16	1		
0270	0004	完了	青森県	上北郡	自然苑	039-4114	青森県上北郡横浜町大豆田98-64		41.112877	141.271202	"https://www.google.co.jp/maps/@41.1199871,141.2783143,3a,40.5y,81.92h,91.71t/data=!3m6!1e1!3m4!1sbp2QZav0LUgo4mDIUy4W2g!2e0!7i13312!8i6656"	12.0		120	3	0175-78-6521	CLANNAD ～AFTER STORY～	クラナドアフターストーリー	第18話の岡崎朋也と娘の岡崎汐との旅行で行った菜の花畑のモデル。<br />ここで汐が元気に駆け回り、朋也から初めて買ってもらったロボットのオモチャをなくしてしまいます。<br />第22話では、岡崎家3人旅行で、同じく汐が駆けまわる姿が描かれていました。				カミキタグン	ク	2	16	1		
0270	0005	完了	青森県	上北郡	JR 陸奥横浜駅	039-4133	青森県上北郡横浜町舘の後21		41.086539	141.249856	"https://www.google.co.jp/maps/@41.0860974,141.2489312,3a,31.9y,82.58h,93.46t/data=!3m6!1e1!3m4!1sROmr3vZAyXjySGmluflgOw!2e0!7i13312!8i6656?hl=ja"	14.0		0			CLANNAD ～AFTER STORY～	クラナドアフターストーリー	第18話の岡崎朋也と娘の岡崎汐との旅行で下車した駅のモデル。<br />第22話では朋也、岡崎渚、岡崎汐の3人での旅行で同じく下車していました。<br />ちなみに車両はキハ110系と思われます。<br />エンディングカットでも同じホーム周辺が描かれていました。				カミキタグン	ク	2	16	1		
0270	0113	完了	青森県	上北郡	むつはまなすライン	039-4156	青森県上北郡横浜町字雲雀平		40.995509	141.231861	"https://www.google.co.jp/maps/@40.9955896,141.2319097,3a,35.4y,223.25h,92.19t/data=!3m6!1e1!3m4!1sRgU8ATq2Lr5vdwFAVBXDIw!2e0!7i13312!8i6656?hl=ja"						CLANNAD ～AFTER STORY～	クラナドアフターストーリー	第22話の岡崎家3人旅の電車移動カットで描かれていた場所。<br />実際には海沿いに進む線路ですが、作中では内陸のように描かれ、山や建物が描き足されています。<br />画面左下に描かれているのは、道路脇に設置された可動式の風よけ設備です。				カミキタグン	ク	2	16	1		
0270	0069	完了	東京都	大田区	多摩川丸子橋緑地から望む多摩川橋梁	145-0072	東京都大田区田園調布本町		35.582926	139.671882	-						CLANNAD ～AFTER STORY～	クラナドアフターストーリー	第11話の、車での移動中の岡崎朋也が作業記録用に撮影された写真を見ていたシーンで、デジカメの画面に映し出されていた場所の一つ④。				オオタク	ク	13	5	2		
0270	0091	完了	東京都	大田区	さくら坂交差点西側の道	145-0072	東京都大田区田園調布本町		35.585406	139.674243	"https://www.google.co.jp/maps/@35.5852488,139.6745949,3a,63.4y,316.09h,90.45t/data=!3m6!1e1!3m4!1sMMwSNVgag0500TizsiIldA!2e0!7i13312!8i6656"						CLANNAD ～AFTER STORY～	クラナドアフターストーリー	第15話で、妊娠した岡崎渚の検査で訪れた総合病院帰りの岡崎夫妻＋古河夫妻がバスで帰るシーンで描かれていた道路。一行が乗るバスはさくら坂の西に向けて走っていました。				オオタク	ク	13	5	2		
0270	0046	完了	東京都	大田区	桜橋	145-0072	東京都大田区田園調布本町18		35.585668	139.675139	"https://www.google.co.jp/maps/@35.5856292,139.6752872,3a,43.3y,283.51h,86.09t/data=!3m6!1e1!3m4!1sSiY5_2DVFDjcCHxwRF3uPQ!2e0!7i16384!8i8192"						CLANNAD ～AFTER STORY～	クラナドアフターストーリー	第5話、高校時代の相楽美佐枝が、志麻賀津紀から聞いた自分の好きな人には他に好きな人がいてその人には既に彼女がいるという話を聞いていた橋で、好意を寄せていた同級生の五十嵐が、彼女と歩いているのを目撃したことで、それが自分の話だとようやく気づいていました。				オオタク	ク	13	5	2		
