作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在	重要度
0097	0001	完了	滋賀県	大津市	なぎさ公園	520-0047	滋賀県大津市浜大津島の関		35.009818	135.871122	-						有頂天家族	ウチョウテンカゾク	エンディングで描かれていた公園。作中にはそのシーンは描かれてはいませんが、かつて鈴木聡美だったころの弁天が赤玉先生にさらわれた場所です。				オオツシ	ウ	25	1	5		
0097	0125	完了	京都府	京都市	四条通り（京都マルイ前タクシーのりば）	600-8001	京都府京都市下京区真町		35.003722	135.769793	"https://www.google.com/maps/@35.0037582,135.7699077,3a,49.8y,260h,89.55t/data=!3m6!1e1!3m4!1sNK0Q-oWT9sAkN0rxOLwM1g!2e0!7i13312!8i6656"						有頂天家族	ウチョウテンカゾク	第13話で、「仙酔楼」から逃げ出した淀川教授の後を追う赤玉先生が、「風神雷神の扇」で人々や車を吹き飛ばしながら悠然と歩んでいた場所。<br />タクシー乗り場の看板越しに四条河原町交差点を望む構図で、眼鏡市場 京都河原町本店ビル、河原町ニュー・トーキヨビルなどが描かれていました。<br />※タクシーのりばは撤去済み。				キョウトシ	ウ	26	10	5		
0097	0073	完了	京都府	京都市	四条通り（京都河原町駅6番出入口前）	600-8002	京都府京都市下京区御旅町		35.003751	135.768043	"https://www.google.co.jp/maps/@35.003767,135.7680395,3a,42y,217.23h,90.22t/data=!3m6!1e1!3m4!1sb-U093M8s5cANgr7acKBRQ!2e0!7i13312!8i6656?hl=ja"						有頂天家族	ウチョウテンカゾク	第1話冒頭ナレーションシーンの京都の街カットの一つで、タクシーで埋め尽くされていた通り。<br />京都河原町駅6番出入口前辺りから道路の反対側を望む構図で、モスバーガー四条河原町店から西側に建ち並ぶ建物が描かれていました。<br />第1話冒頭カットその2。				キョウトシ	ウ	26	10	5		
0097	0083	完了	京都府	京都市	四条河原町交差点	600-8002	京都府京都市下京区御旅町		35.004046	135.769303	"https://www.google.co.jp/maps/@35.004115,135.7692715,3a,34y,183.06h,104.01t/data=!3m6!1e1!3m4!1s4yKjC0pFCPJHM0mYj-QbDA!2e0!7i16384!8i8192?hl=ja"						有頂天家族	ウチョウテンカゾク	第1話冒頭ナレーションシーンで、交差点北側の横断歩道を渡る人々越しに京都マルイ、京都高島屋のビルが描かれていました。<br />第1話冒頭カットその14。				キョウトシ	ウ	26	10	5		
0097	0084	完了	京都府	京都市	四条通り（四条河原町バス停前）	600-8002	京都府京都市下京区御旅町		35.003772	135.768561	"https://www.google.co.jp/maps/@35.0037396,135.7683965,3a,37y,63.48h,83.44t/data=!3m6!1e1!3m4!1swAbHS2wIQ4t7eUNS_GExew!2e0!7i16384!8i8192?hl=ja"						有頂天家族	ウチョウテンカゾク	第1話冒頭ナレーションシーンで、四条河原町バス停前から辺りから道路の反対側を望む構図で、みずほ銀行 四条支店などの建物が描かれていました。<br />第1話冒頭カットその17。				キョウトシ	ウ	26	10	5		
0097	0003	完了	京都府	京都市	四条通地下道（大丸京都店）	600-8007	京都府京都市下京区立売西町		35.003717	135.762529	-						有頂天家族	ウチョウテンカゾク	エンディングで弁天が歩いている地下道。16番出入口付近の大丸のディスプレイの前になります。			地下街なので未確認。情報サイト掲載の位置	キョウトシ	ウ	26	10	5		
0097	0012	完了	京都府	京都市	四条通地下道（大丸京都店前）	600-8007	京都府京都市下京区立売西町79		35.003727	135.762136	-					075-211-8111	有頂天家族	ウチョウテンカゾク	第5話で、下鴨矢三郎とBARノスタルジア店主が、四条通地下道のショーウインドウの前で、弁天に遭遇して何とかやり過ごしていました。	http://www.daimaru.co.jp/kyoto/			キョウトシ	ウ	26	10	5		
0097	0109	完了	京都府	京都市	四条通り（四条木屋町交差点）	600-8011	京都府京都市下京区橋本町		35.003726	135.770587	"https://www.google.co.jp/maps/@35.0037387,135.7705602,3a,52y,90.07h,108.12t/data=!3m6!1e1!3m4!1s8u7R-Fr8qXHbQGB1SCnLbQ!2e0!7i16384!8i8192"						有頂天家族	ウチョウテンカゾク	第5話冒頭カットで、マクドナルド 四条大橋店脇のウメ子の家 四条河原町店（閉店済）の看板の前から、西側を望む構図で、遠方のレストラン菊水までの通りが描かれていました。				キョウトシ	ウ	26	10	5		
0097	0110	完了	京都府	京都市	四条木屋町交差点（京都河原町駅1A出入口前）	600-8011	京都府京都市下京区橋本町		35.003891	135.770523	"https://www.google.co.jp/maps/@35.0038996,135.7705536,3a,30.3y,267.61h,88.78t/data=!3m6!1e1!3m4!1smAAVgZMNMc-evi_TnERBmg!2e0!7i13312!8i6656?hl=ja"						有頂天家族	ウチョウテンカゾク	第8話冒頭の下鴨矢ニ郎の回想モノローグシーンで、矢ニ郎が信号待ちをしていた交差点。				キョウトシ	ウ	26	10	5		
0097	0123	完了	京都府	京都市	四条小橋	600-8011	京都府京都市下京区橋本町		35.003694	135.770485	"https://www.google.com/maps/@35.0038277,135.7704125,3a,59y,184.21h,96.97t/data=!3m6!1e1!3m4!1sOkRGVShJRG4HKYEzXzMRaw!2e0!7i13312!8i6656"						有頂天家族	ウチョウテンカゾク	第13話で、「仙酔楼」から逃げ出した淀川教授を追う赤玉先生が、「風神雷神の扇」で人々を吹き飛ばしていた場所。				キョウトシ	ウ	26	10	5		
