作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在	重要度
0838	0020	完了	福島県	郡山市	昭和通り（三万石 郡山本店前）	963-8002	福島県郡山市駅前2-2		37.398093	140.386335	"https://www.google.co.jp/maps/@37.3980264,140.3864503,3a,28.4y,312.94h,89.08t/data=!3m6!1e1!3m4!1sipD8Zu-8CmSAapMW8ZbYxg!2e0!7i16384!8i8192?hl=ja"						未確認で進行形	ミカクニンデシンコウケイ	第10話で、三峰真白と買い物帰りの夜ノ森小紅が、別行動をしていた三峰白夜と遭遇して、ホワイトデーのプレゼントとしてお揃いのハンカチを渡していた場所。<br />作中では、三万石の店が、実際には道を挟んだ向かい側にある寿司屋の新月に描き変えられていました。				コオリヤマシ	ミ	7	8	1		
0838	0019	完了	福島県	郡山市	郡山テアトル	963-8002	福島県郡山市駅前2-9-7		37.400514	140.387175	"https://www.google.co.jp/maps/@37.4005108,140.3870303,3a,17.7y,79.09h,110.9t/data=!3m6!1e1!3m4!1s9_3FR5pNyw0SPAkbOIrB7A!2e0!7i16384!8i8192"				5		未確認で進行形	ミカクニンデシンコウケイ	第11話で、春休みに三峰真白の提案で、夜ノ森小紅、三峰白夜、真白の3人が「俺の息子が宇宙人にさらわれて困惑している」という映画を観に行った映画館。<br />作中ではテアトル1・2・3の看板の文字が「テアトロ3・2」となっていました。				コオリヤマシ	ミ	7	8	1		
0838	0001	完了	福島県	郡山市	JR 郡山駅	963-8003	福島県郡山市燧田195		37.397945	140.388417	"https://www.google.co.jp/maps/@37.3981492,140.3873462,3a,25.9y,111.91h,90.06t/data=!3m6!1e1!3m4!1suLVDQ40AfCK8_64ldiYAvQ!2e0!7i16384!8i8192"	13.0		120	2		未確認で進行形	ミカクニンデシンコウケイ	第12話で、突然山に帰ってしまった三峰白夜と三峰真白に会いに行くために夜ノ森小紅が電車（磐越西線）に乗った駅で、在来ホーム1番線、券売機、駅舎、西口広場などが描かれていました。				コオリヤマシ	ミ	7	8	1		
0838	0002	完了	福島県	郡山市	たい夢 郡山店	963-8005	福島県郡山市清水台2-13-24	今川ビル1F	37.398939	140.383125	"https://www.google.co.jp/maps/@37.3987639,140.3832512,3a,15y,338.89h,93.55t/data=!3m6!1e1!3m4!1sqHhPvg0btXjTSwZR94fTaQ!2e0!7i13312!8i6656?hl=ja"	17.0	○	120	5		未確認で進行形	ミカクニンデシンコウケイ	第5話で夜ノ森家へ向かう三峰白雪が寄り道してお菓子を買っていた店の一つ。作中では店名が「たい舞」になっていました。<br />※閉店済。				コオリヤマシ	ミ	7	8	1	閉店	
0838	0003	完了	福島県	郡山市	ザ・モール郡山店	963-8017	福島県郡山市長者1-1-56		37.397433	140.370335	"https://www.google.co.jp/maps/@37.3979363,140.3719232,3a,20.4y,254.97h,97.32t/data=!3m6!1e1!3m4!1skrhygIE7TJ5491IyTyMx-A!2e0!7i13312!8i6656?hl=ja"	17.0		120	4	024-933-0100	未確認で進行形	ミカクニンデシンコウケイ	第3話で、学校帰りの夜ノ森小紅と三峰白夜が夕飯用の買い物をショッピングモール。<br />第5話で来客用の買い物をする小紅が、三峰真白のお使いでドライ納豆を買いに来た白夜と遭遇していたのも、第10話で白夜が小紅へのホワイトデーのプレゼントを探していたのも、このショッピングモールでした。	http://www.seiyu.co.jp/shops/detail/00000044/			コオリヤマシ	ミ	7	8	1		
0838	0004	完了	福島県	郡山市	夢・菓子工房かめまん 郡山開成店	963-8851	福島県郡山市開成2-38-11		37.395040	140.354974	"https://www.google.co.jp/maps/@37.3950109,140.3548308,3a,32.7y,73.69h,98.21t/data=!3m6!1e1!3m4!1sSJMpWMiGtrSRhRASbQCumg!2e0!7i13312!8i6656?hl=ja"	17.0	○	120	3.5	024-983-1678	未確認で進行形	ミカクニンデシンコウケイ	第5話で夜ノ森家へ向かう三峰白雪が寄り道してお菓子を買っていた店の一つで、店名やロゴ以外は忠実に再現されていました。作中では店名が「愛・菓子工房つるまん」になっています。<br />※閉店済。	http://www.kameman.net/staff.html			コオリヤマシ	ミ	7	8	1	閉店	
0838	0005	完了	福島県	郡山市	コーヒーハウス プティバリー	963-8851	福島県郡山市開成3-12-6	プティバリーガーデン1F 	37.392584	140.352881	"https://www.google.co.jp/maps/@37.3925345,140.353137,3a,15y,308.36h,92.86t/data=!3m6!1e1!3m4!1sJjUxr5xgbgx0vdWn-oX5dg!2e0!7i13312!8i6656?hl=ja"	17.0		120	5	024-934-1318	未確認で進行形	ミカクニンデシンコウケイ	第5話で夜ノ森家へ向かう三峰白雪が寄り道してお菓子を買っていた店の一つ。作中では看板のPetit Berry Gardenの文字が「Sweet Berry Factory」になっていました。<br />※閉店済。				コオリヤマシ	ミ	7	8	1	閉店	
0838	0006	完了	福島県	郡山市	安積高校	963-8851	福島県郡山市開成5-25-63		37.391108	140.350192	"https://www.google.co.jp/maps/@37.3922523,140.3507279,3a,29.8y,221.49h,86.14t/data=!3m6!1e1!3m4!1sFMTuzvG9eoQq75IV8voU5A!2e0!7i13312!8i6656?hl=ja"	16.0		120	4	024-922-4310	未確認で進行形	ミカクニンデシンコウケイ	夜ノ森小紅たちの通う学校のモデル。	http://www.asaka-h.fks.ed.jp/			コオリヤマシ	ミ	7	8	1		
0838	0007	完了	福島県	郡山市	道（酒蓋公園脇）	963-8861	福島県郡山市鶴見坦2-4		37.392174	140.367379	"https://www.google.co.jp/maps/@37.3921449,140.3675248,3a,40y,288.46h,86.5t/data=!3m6!1e1!3m4!1stFdjCsNa9SAnXxA8SpFLJg!2e0!7i13312!8i6656?hl=ja"	17.0		120			未確認で進行形	ミカクニンデシンコウケイ	夜ノ森小紅たちの通学路として作中度々登場する道。				コオリヤマシ	ミ	7	8	1		
0838	0008	完了	福島県	郡山市	道	963-8861	福島県郡山市鶴見坦2-8		37.391678	140.367303	"https://www.google.co.jp/maps/@37.3917836,140.3671065,3a,27.5y,120.38h,86.24t/data=!3m6!1e1!3m4!1s_TXU7EspSUVVb0kQ5nqYzA!2e0!7i13312!8i6656?hl=ja"	17.0		120	4		未確認で進行形	ミカクニンデシンコウケイ	夜ノ森小紅たちの通学路として作中度々登場する道。				コオリヤマシ	ミ	7	8	1		
