作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在	重要度
0561	0001	完了	北海道	札幌市	JR 札幌駅	060-0806	北海道札幌市北区北六条西3-1-1		43.068606	141.350806		13.0		0			鉄子の旅	テツコノタビ	第13話で北斗星に乗ってやってきた北海道旅行のスタート駅。ここから特急オホーツクへ乗り、北見へ向かいました。ホームのみ登場。				サッポロシ	テ	1	1	1		
0561	0002	完了	北海道	函館市	JR 函館駅	040-0063	北海道函館市若松町12-13		41.773696	140.726332	"https://www.google.co.jp/maps/@41.773746,140.726399,2a,90y,90t/data=!3m5!1e2!3m3!1s2815645!2e1!3e10"	15.0		0			鉄子の旅	テツコノタビ	第7話の北海道旅行の1日目の宿泊地として訪れた駅。駅舎外観やホーム、駅舎内の函館戦争前後の歴史をモチーフにした陶板壁画彫刻などが描かれていました。<br />北海道旅行④⑥。<br />同話で、森駅から特急で戻って来て江差線に乗り換え、終点の江差駅まで行くことが語られていました。北海道旅行⑪				ハコダテシ	テ	1	4	1		
0561	0003	完了	北海道	亀田郡	JR 仁山駅	041-1101	北海道亀田郡七飯町仁山		41.929964	140.635262	"https://www.google.co.jp/maps/@41.929967,140.634699,3a,75y,83.24h,92.49t/data=!3m4!1e1!3m2!1sRQPkeNv5H1RJ4CtfVS_wug!2e0?hl=ja"	13.0		120	2		鉄子の旅	テツコノタビ	第7話の北海道旅行で訪れた駅。山小屋のような駅舎外観、駅舎内、ホームなどが描かれていました。<br />北海道旅行⑤⑦				カメダグン	テ	1	55	1		
0561	0004	完了	北海道	亀田郡	大沼国定公園 小沼	041-1354	北海道亀田郡七飯町大沼町		41.988951	140.666552	"https://www.google.co.jp/maps/@41.9887995,140.6667907,3a,66.8y,76.7h,89.27t/data=!3m4!1e1!3m2!1sB735aZbnVgVdFLYCN0Kgsw!2e0"	15.0		120	3		鉄子の旅	テツコノタビ	第7話の北海道旅行で函館本線の車内から見た湖。1カットのみの登場。<br />北海道旅行⑧				カメダグン	テ	1	55	1		
0561	0005	完了	北海道	檜山郡	JR 神明駅	049-0562	北海道檜山郡上ノ国町字湯ノ岱		41.734431	140.265677	"https://www.google.co.jp/maps/@41.734229,140.265917,3a,75y,90t/data=!3m5!1e2!3m3!1s96717331!2e1!3e10?hl=ja"	13.0		0			鉄子の旅	テツコノタビ	第7話の北海道旅行で、江差線に乗って終点の江差駅へ向かう車中で横見浩彦が熱く語っていた駅。古めかしい小さな駅舎が描かれていました。<br />北海道旅行⑫				ヒヤマグン	テ	1	85	1		
0561	0006	完了	北海道	檜山郡	JR 湯ノ岱駅	049-0562	北海道檜山郡上ノ国町字湯ノ岱		41.750296	140.243756	"https://www.google.co.jp/maps/@41.750312,140.243698,3a,75y,90t/data=!3m5!1e2!3m3!1s51134069!2e1!3e10?hl=ja"	16.0		0			鉄子の旅	テツコノタビ	第7話の北海道旅行で、江差線に乗って終点の江差駅へ向かう車中で横見浩彦が熱く語っていた駅。ホーム及びホーム側からの駅舎外観が描かれていました。<br />北海道旅行⑬				ヒヤマグン	テ	1	85	1		
0561	0007	完了	北海道	檜山郡	JR 上ノ国駅	049-0611	北海道檜山郡上ノ国町大留		41.805548	140.124108	"https://www.google.co.jp/maps/@41.805567,140.124106,2a,90y,90t/data=!3m5!1e2!3m3!1s98908900!2e1!3e10"	17.0		0			鉄子の旅	テツコノタビ	第7話の北海道旅行で、江差線に乗って終点の江差駅へ向かう車中で横見浩彦が熱く語っていた駅。ホーム及びホーム側からの駅舎外観が描かれていました。<br />北海道旅行⑭				ヒヤマグン	テ	1	85	1		
0561	0008	完了	北海道	茅部郡	JR 森駅	049-2300	北海道茅部郡森町字本町		42.108897	140.573983	"https://www.google.co.jp/maps/@42.108825,140.573201,3a,75y,90t/data=!3m5!1e2!3m3!1s27075279!2e1!3e10?hl=ja"	14.0		0			鉄子の旅	テツコノタビ	第7話の北海道旅行でイカメシを買っていた駅。ホームや駅の売店、駅舎外観などが描かれていました。<br />7時40分から8時7分発の鈍行電車に乗る間にイカメシを買おうとするも、9時にならないと入荷しないと聞かされ、急遽9時過ぎの特急に乗ることに変更し、9時までの間、駅を出て歩いて東森駅へ行って時間を潰すことにしていました。<br />北海道旅行⑨				カヤベグン	テ	1	56	1		
0561	0123	完了	北海道	茅部郡	ライフサポート森 前	049-2300	北海道茅部郡森町字本町		42.108610	140.573356	"https://www.google.com/maps/@42.1085193,140.5727662,3a,15y,79.47h,93.85t/data=!3m6!1e1!3m4!1sFlEwZaTLVAK9bGgKzrMFeA!2e0!7i13312!8i6656"						鉄子の旅	テツコノタビ	第7話の北海道旅行で、イカメシが入荷するまでの1時間余りの間、東森駅まで行って時間を潰そうと言い出した横見浩彦が、菊池直恵とカミムラを引き連れて歩いていた場所。東森駅のシーンは描かれていません。<br />作中では、ライフサポート森の看板の文字が「サポート森」になっていました。<br />北海道旅行⑩				カヤベグン	テ	1	56	1		
0561	0009	完了	北海道	根室市	JR 東根室駅	087-0022	北海道根室市昭和町4		43.323667	145.597222	"https://www.google.co.jp/maps/@43.3236316,145.5971984,1a,45.5y,346.7h,102.15t/data=!3m6!1e2!3m4!1s45454855!2e1!3e10!4b1"	13.0		120	3		鉄子の旅	テツコノタビ	エンディングに登場した日本最東端の駅。				ネムロシ	テ	1	23	1		
